Department  ,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
City Assessor,Geographic Info Sys Techn II,Permanent Full-time,07/09/2018,07/09/2018,Exempt,42453.42
City Assessor,Land Records Specialist,Permanent Full-time,08/29/2020,08/29/2020,Nonexempt,42937.55
City Assessor,Real Estate Appraiser II,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,47823.00
City Assessor,Program Supervisor,Permanent Full-time,08/07/2008,01/19/2019,Exempt,48779.46
City Assessor,Real Estate Appraiser II,Permanent Full-time,10/15/2013,10/15/2013,Nonexempt,48978.00
City Assessor,Real Estate Appraiser II,Permanent Full-time,07/05/2017,07/05/2017,Nonexempt,50775.00
City Assessor,Software Analyst,Permanent Full-time,02/20/2018,02/20/2018,Exempt,52242.65
City Assessor,Real Estate Appraiser III,Permanent Full-time,09/21/2012,09/21/2012,Nonexempt,54650.58
City Assessor,"Information Tech Planner, Sr",Retiree Part-time,11/13/1996,08/15/2020,Exempt,53.85
City Assessor,GIS Specialist III,Permanent Full-time,01/04/2020,01/04/2020,Exempt,56314.00
City Assessor,Real Estate Appraiser III,Permanent Full-time,11/12/2003,01/02/2021,Nonexempt,64000.00
City Assessor,Real Estate Appraiser III,Permanent Full-time,10/26/2009,10/26/2009,Nonexempt,65038.44
City Assessor,Real Estate Appraisal Tm Ldr,Permanent Full-time,05/23/2005,08/03/2020,Exempt,66066.00
City Assessor,Real Estate Appraiser III,Permanent Full-time,08/11/2008,08/11/2008,Nonexempt,71069.52
City Assessor,Real Estate Appraisal Tm Ldr,Permanent Full-time,08/17/2009,12/01/2013,Exempt,72321.06
City Assessor,Programmer/Analyst V,Permanent Full-time,01/02/2007,12/01/2011,Exempt,74248.86
City Assessor,Deputy Real Estate Assessor,Permanent Full-time,09/21/2020,09/21/2020,Exempt,75566.70
City Assessor,Real Estate Appraiser III,Permanent Full-time,05/01/1998,05/01/1998,Nonexempt,78448.20
City Assessor,Chief Dep Real Estate Assessor,Permanent Full-time,07/28/2008,06/29/2020,Exempt,93557.00
City Assessor,City Assessor,Appointed by City Council,07/05/2017,07/05/2017,Exempt,145452.00
City Auditor,Assistant City Auditor I,Permanent Full-time,02/19/2019,02/19/2019,Exempt,38083.74
City Auditor,Assistant City Auditor II,Permanent Full-time,05/11/2019,05/11/2019,Exempt,65887.92
City Auditor,Assistant City Auditor II,Permanent Full-time,04/16/2018,04/16/2018,Exempt,72828.00
City Auditor,Assistant City Auditor II,Permanent Full-time,07/10/2000,11/26/2018,Exempt,74460.00
City Auditor,Assistant City Auditor II,Permanent Full-time,10/26/2015,11/26/2018,Exempt,76469.40
City Auditor,Assistant City Auditor II,Permanent Full-time,05/17/2005,08/03/2020,Exempt,78685.00
City Auditor,Deputy City Auditor,Permanent Full-time,04/30/2018,01/14/2019,Exempt,87393.60
City Auditor,Deputy City Auditor,Permanent Full-time,10/18/1999,10/08/2014,Exempt,91800.00
City Auditor,City Auditor,Appointed by City Council,03/11/2013,09/11/2018,Exempt,112200.00
City Clerk,Deputy City Clerk/Secretary,Permanent Full-time,05/23/2016,03/14/2020,Nonexempt,40000.00
City Clerk,Deputy City Clerk/Secretary,Permanent Full-time,02/04/2019,02/04/2019,Nonexempt,41500.00
City Clerk,Deputy City Clerk/Secretary,Permanent Full-time,03/02/1987,08/13/2018,Nonexempt,45500.00
City Clerk,Deputy City Clk/Steno Reporter,Permanent Full-time,01/25/1999,01/25/1999,Nonexempt,55087.94
City Clerk,Deputy City Clerk/AdminAlyst I,Permanent Full-time,07/06/2019,07/06/2019,Exempt,63000.00
City Clerk,Deputy City Clerk/AdminAlyst I,Permanent Full-time,01/16/2001,07/01/2015,Exempt,66464.40
City Clerk,Deputy City Clerk/AdminAlyst I,Permanent Full-time,07/03/2006,07/01/2015,Exempt,68464.40
City Clerk,Special Assistant,Special Project w/ Retirement,06/01/1986,07/01/2016,Exempt,93294.83
City Clerk,Chief Deputy City Clerk,Permanent Full-time,07/01/2016,07/03/2018,Exempt,106120.80
City Clerk,City Clerk,Permanent Full-time,06/16/1997,07/01/2018,Exempt,124848.00
City Council,Member Of Council,Elected Official,07/24/1998,07/01/2010,Exempt,25000.00
City Council,Member Of Council,Elected Official,01/14/2021,01/14/2021,Exempt,25000.00
City Council,Member Of Council,Elected Official,07/01/1992,05/15/1996,Exempt,25000.00
City Council,Member Of Council,Elected Official,06/21/1999,08/31/2016,Exempt,25000.00
City Council,Member Of Council,Elected Official,07/01/2016,07/01/2016,Exempt,25000.00
City Council,Member Of Council,Elected Official,07/01/2014,07/01/2014,Exempt,25000.08
City Council,President Of Council,Elected Official,07/01/2016,07/01/2016,Exempt,27000.00
City Manager-NCJS Adlt Com Sup,Administrative Technician,Special Project w/ Retirement,11/27/2006,07/01/2008,Nonexempt,16.98
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,01/11/2016,10/30/2017,Nonexempt,20.82
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,01/22/2014,01/22/2014,Nonexempt,21.50
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,01/31/2005,07/23/2008,Nonexempt,24.35
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,02/13/2006,07/01/2007,Nonexempt,24.35
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,08/01/1991,07/01/2007,Nonexempt,25.58
City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,10/07/1999,07/01/2008,Nonexempt,26.88
City Manager-NCJS Adlt Com Sup,Programs Manager,Special Project w/ Retirement,11/21/1994,07/01/2007,Exempt,82936.07
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer I,Special Project,08/17/2019,08/17/2019,Nonexempt,16.56
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer I,Special Project,06/24/2017,08/17/2019,Nonexempt,16.56
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer I,Special Project w/ Retirement,05/15/1996,01/19/2016,Nonexempt,19.12
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer II,Special Project w/ Retirement,12/10/2018,12/10/2018,Nonexempt,20.01
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer II,Special Project w/ Retirement,12/04/2017,12/04/2017,Nonexempt,21.84
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer II,Special Project w/ Retirement,04/23/2005,07/01/2008,Nonexempt,26.88
City Manager-NCJS Pretrial Svc,Pre-Trial Probation Officer II,Special Project w/ Retirement,08/24/1999,08/24/1999,Nonexempt,26.88
City Manager-NCJS Pretrial Svc,Program Supervisor,Special Project w/ Retirement,02/12/2001,02/18/2015,Exempt,62060.25
City Planning - Dir Office,Financial Operations Mgr,Permanent Full-time,04/26/2000,08/10/2015,Exempt,73875.54
City Planning - Dir Office,Director of Planning,Permanent Full-time,08/08/2011,11/12/2018,Exempt,140770.30
City Treasurer,Deputy I - TR,State Comp Board Retirement,09/28/2019,09/28/2019,Nonexempt,15.14
City Treasurer,Deputy I - TR,State Comp Board Retirement,02/08/2021,02/08/2021,Nonexempt,15.14
City Treasurer,Deputy I - TR,State Comp Board Retirement,01/04/2020,01/04/2020,Nonexempt,15.14
City Treasurer,Deputy I - TR,State Comp Board Retirement,04/30/2018,04/30/2018,Nonexempt,15.76
City Treasurer,Deputy I - TR,State Comp Board Retirement,04/16/2018,04/16/2018,Nonexempt,15.76
City Treasurer,Deputy I - TR,State Comp Board Retirement,11/21/2016,11/21/2016,Nonexempt,16.61
City Treasurer,Deputy II - TR,State Comp Board Retirement,10/07/1991,06/23/2003,Nonexempt,17.10
City Treasurer,Deputy II - TR,State Comp Board Retirement,08/22/2016,08/22/2016,Nonexempt,17.35
City Treasurer,Deputy I - TR,State Comp Board Retirement,04/16/2018,04/16/2018,Nonexempt,17.44
City Treasurer,Deputy I - TR,State Comp Board Retirement,03/01/2017,03/01/2017,Nonexempt,18.03
City Treasurer,Deputy II - TR,State Comp Board Retirement,08/22/2016,08/22/2016,Nonexempt,19.03
City Treasurer,Deputy II - TR,State Comp Board Retirement,02/20/2018,09/02/2019,Nonexempt,19.51
City Treasurer,Deputy II - TR,State Comp Board Retirement,05/01/2000,06/23/2003,Nonexempt,20.92
City Treasurer,Deputy II - TR,State Comp Board Retirement,10/08/1995,05/21/2013,Nonexempt,21.96
City Treasurer,Deputy II - TR,State Comp Board Retirement,06/09/2014,06/09/2014,Nonexempt,22.21
City Treasurer,Deputy III - TR,State Comp Board Retirement,05/02/2014,10/01/2018,Exempt,48214.38
City Treasurer,Deputy II - TR,State Comp Board Retirement,10/17/2005,08/23/2012,Nonexempt,23.35
City Treasurer,Deputy II - TR,State Comp Board Retirement,09/23/1999,04/01/2017,Nonexempt,25.37
City Treasurer,Deputy III - TR,State Comp Board Retirement,04/10/2017,04/10/2017,Exempt,54121.61
City Treasurer,Deputy IV - TR,State Comp Board Retirement,12/05/2012,11/21/2013,Exempt,58054.32
City Treasurer,Supervising Deputy-TR,State Comp Board Retirement,10/23/1996,04/01/2017,Exempt,61362.23
City Treasurer,Administrative Manager - TR,State Comp Board Retirement,02/26/1973,05/15/2017,Exempt,61945.42
City Treasurer,Deputy IV - TR,State Comp Board Retirement,12/09/2013,12/09/2013,Exempt,68685.18
City Treasurer,Deputy IV - TR,State Comp Board Retirement,10/23/2006,02/27/2017,Exempt,74284.56
City Treasurer,Chief Deputy - TR,State Comp Board Retirement,01/16/1989,03/27/2014,Exempt,87662.22
City Treasurer,Chief Deputy - TR,State Comp Board Retirement,12/01/1986,05/01/2017,Exempt,107858.95
City Treasurer,City Treasurer - TR,State Comp Board Retirement,07/01/1996,01/01/2018,Exempt,177539.04
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,01/04/2021,01/04/2021,Nonexempt,17.29
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,01/25/2020,01/25/2020,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,01/25/2020,01/25/2020,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,10/19/2019,10/19/2019,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,11/19/2018,08/26/2019,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,09/10/2018,09/10/2018,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,08/27/2018,08/27/2018,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk I-CC,State Comp Board Retirement,08/24/2019,08/24/2019,Nonexempt,17.30
Clerk of the Circuit Court,Deputy Clerk II-CC,State Comp Board Retirement,06/05/2013,03/09/2019,Nonexempt,17.64
Clerk of the Circuit Court,Cashier-CC,State Comp Board Retirement,05/21/2018,09/23/2019,Nonexempt,18.79
Clerk of the Circuit Court,Deputy Clerk II-CC,State Comp Board Retirement,08/05/2013,01/13/2020,Nonexempt,19.03
Clerk of the Circuit Court,Deputy Clerk III-CC,State Comp Board Retirement,05/13/2019,12/07/2020,Nonexempt,19.03
Clerk of the Circuit Court,Deputy Clerk II-CC,State Comp Board Retirement,11/17/2008,03/09/2019,Nonexempt,20.32
Clerk of the Circuit Court,Deputy Clerk II-CC,State Comp Board Retirement,12/18/2006,03/25/2016,Nonexempt,20.52
Clerk of the Circuit Court,In Court Clerk-CC,State Comp Board Retirement,11/30/2006,02/06/2018,Nonexempt,20.52
Clerk of the Circuit Court,Deputy Clerk III-CC,State Comp Board Retirement,04/04/2013,06/01/2017,Nonexempt,21.47
Clerk of the Circuit Court,In Court Clerk-CC,State Comp Board Retirement,09/11/2012,12/03/2018,Nonexempt,22.76
Clerk of the Circuit Court,In Court Clerk-CC,State Comp Board Retirement,02/16/2017,04/24/2019,Nonexempt,22.76
Clerk of the Circuit Court,In Court Clerk-CC,State Comp Board Retirement,03/31/2014,08/13/2018,Nonexempt,22.76
Clerk of the Circuit Court,In Court Clerk-CC,State Comp Board Retirement,06/10/2008,09/09/2019,Nonexempt,22.76
Clerk of the Circuit Court,Deputy Clerk III-CC,State Comp Board Retirement,03/08/2004,07/01/2008,Nonexempt,23.31
Clerk of the Circuit Court,Administrative Assistant-CC,State Comp Board Retirement,05/17/1977,06/23/2004,Exempt,52510.69
Clerk of the Circuit Court,Administrative Manager-CC,State Comp Board Retirement,06/15/2009,12/01/2020,Exempt,55785.60
Clerk of the Circuit Court,Administrative Assistant-CC,State Comp Board Retirement,09/13/2004,08/07/2017,Exempt,59001.55
Clerk of the Circuit Court,Administrative Assistant-CC,State Comp Board Retirement,05/14/2007,04/23/2018,Exempt,60120.63
Clerk of the Circuit Court,Administrative Assistant-CC,State Comp Board Retirement,03/23/2004,07/09/2017,Exempt,63182.87
Clerk of the Circuit Court,Comptroller-CC,State Comp Board Retirement,01/01/2004,06/23/2004,Exempt,77759.05
Clerk of the Circuit Court,Supervising Deputy Clerk-CC,State Comp Board Retirement,03/29/1999,02/16/2018,Exempt,84514.61
Clerk of the Circuit Court,Supervising Deputy Clerk-CC,State Comp Board Retirement,11/23/1994,11/22/2004,Exempt,84515.11
Clerk of the Circuit Court,Applications Manager - CC,State Comp Board Retirement,08/02/2010,08/02/2010,Exempt,94492.27
Clerk of the Circuit Court,Chief Deputy Circuit Court,State Comp Board Retirement,05/16/1996,01/01/2004,Exempt,140454.00
Clerk of the Circuit Court,Clerk of the Circuit Court,State Comp Board Retirement,01/15/1994,01/01/2004,Exempt,177221.74
Clinical Acute Services Admin,Administrative Assistant II,Permanent Full-time,02/08/2012,02/08/2012,Nonexempt,45217.96
Clinical Acute Services Admin,Division Head,Permanent Full-time,04/01/1986,09/08/2007,Exempt,107270.48
Commissioner of Revenue,Office Assistant,Constitutional OfficePart-time,06/26/2006,05/01/2017,Nonexempt,15.30
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,11/12/2019,11/12/2019,Nonexempt,15.38
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,12/08/2001,12/10/2018,Nonexempt,16.18
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,05/28/2019,05/28/2019,Nonexempt,16.92
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,02/09/2009,06/24/2019,Nonexempt,17.16
Commissioner of Revenue,Deputy II - COR,Permanent Full-time,02/16/1984,08/17/2019,Nonexempt,35700.00
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,04/24/2021,04/24/2021,Nonexempt,17.31
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,10/12/2003,05/14/2018,Nonexempt,17.51
Commissioner of Revenue,Deputy I - COR,State Comp Board Retirement,01/28/2002,08/06/2018,Nonexempt,19.37
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,10/21/2013,11/12/2018,Nonexempt,19.39
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,11/26/2007,11/09/2015,Nonexempt,19.68
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,02/08/2008,03/17/2014,Nonexempt,19.69
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,01/11/1999,05/23/2000,Nonexempt,22.04
Commissioner of Revenue,Deputy III - COR,Permanent Full-time,06/23/1998,01/07/2019,Exempt,48450.00
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,01/21/2003,10/15/2018,Exempt,49419.00
Commissioner of Revenue,Deputy III - COR,Permanent Full-time,11/12/1987,02/20/2018,Exempt,49419.00
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,11/23/1997,09/23/2007,Nonexempt,24.16
Commissioner of Revenue,Deputy I - COR,Permanent Full-time,04/15/1998,04/01/2019,Nonexempt,51000.00
Commissioner of Revenue,Deputy II - COR,State Comp Board Retirement,11/08/2005,07/27/2010,Nonexempt,25.85
Commissioner of Revenue,Supervising Deputy - COR,State Comp Board Retirement,11/01/1994,11/07/2015,Exempt,60399.98
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,03/08/2016,03/08/2016,Exempt,62510.46
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,04/01/1986,05/15/1996,Exempt,63828.01
Commissioner of Revenue,Supervising Deputy - COR,State Comp Board Retirement,10/11/2016,04/29/2019,Exempt,66300.00
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,01/01/1998,06/23/2016,Exempt,66404.29
Commissioner of Revenue,Administrative Manager - COR,State Comp Board Retirement,11/01/1989,10/23/2001,Exempt,68512.81
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,10/01/1987,02/05/2018,Exempt,71162.37
Commissioner of Revenue,Supervising Deputy - COR,State Comp Board Retirement,02/08/2006,01/02/2014,Exempt,72828.00
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,12/21/1990,02/20/2018,Exempt,75741.12
Commissioner of Revenue,Administrative Manager - COR,State Comp Board Retirement,01/06/2014,01/06/2014,Exempt,76674.08
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,03/08/2016,08/20/2018,Exempt,80103.66
Commissioner of Revenue,Deputy III - COR,State Comp Board Retirement,04/16/1986,03/01/2017,Exempt,89393.83
Commissioner of Revenue,Supervising Deputy - COR,Permanent Full-time,10/08/2003,03/17/2014,Exempt,90924.30
Commissioner of Revenue,Commissioner of the Revenue,State Comp Board Retirement,10/03/2017,04/01/2021,Exempt,177221.74
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,07/27/2016,01/16/2018,Nonexempt,16.78
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,02/29/2020,02/29/2020,Nonexempt,16.78
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,06/29/2009,01/04/2020,Nonexempt,16.78
Commonwealth's Attorney,Legal Secretary I CWA,Permanent Full-time,02/03/2016,02/03/2016,Nonexempt,34900.01
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,09/14/2020,09/14/2020,Nonexempt,16.78
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,05/23/2005,05/23/2005,Nonexempt,19.19
Commonwealth's Attorney,Legal Secretary II CWA,State Comp Board Retirement,07/24/2017,11/05/2018,Nonexempt,19.23
Commonwealth's Attorney,Legal Secretary II CWA,State Comp Board Retirement,05/29/2018,08/29/2020,Nonexempt,19.23
Commonwealth's Attorney,Legal Secretary II CWA,State Comp Board Retirement,05/01/2013,10/20/2014,Nonexempt,19.23
Commonwealth's Attorney,Administrative Assistant - CWA,State Comp Board Retirement,02/24/2020,02/24/2020,Nonexempt,20.19
Commonwealth's Attorney,Legal Secretary II CWA,Permanent Full-time,12/08/1998,06/11/2007,Nonexempt,45244.50
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,10/01/2012,11/05/2018,Nonexempt,22.64
Commonwealth's Attorney,Paralegal CWA,Permanent Full-time,08/22/2005,09/14/2019,Nonexempt,48043.01
Commonwealth's Attorney,Legal Secretary I CWA,State Comp Board Retirement,07/01/1996,09/09/1996,Nonexempt,23.62
Commonwealth's Attorney,Legal Secretary II CWA,State Comp Board Retirement,05/01/2000,07/18/2006,Nonexempt,23.62
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,06/19/2000,04/18/2007,Nonexempt,23.62
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,01/29/1999,04/10/2006,Nonexempt,23.62
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,04/17/2000,05/17/2006,Nonexempt,23.62
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,01/05/1998,01/05/1998,Nonexempt,23.62
Commonwealth's Attorney,Public Information Spec II,State Comp Board Retirement,07/07/1997,04/17/2017,Exempt,49133.23
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,10/25/1993,05/15/1996,Nonexempt,23.62
Commonwealth's Attorney,Paralegal CWA,State Comp Board Retirement,08/10/1998,07/23/2007,Nonexempt,23.62
Commonwealth's Attorney,Legal Assistant CWA,Permanent Full-time,05/15/2002,11/23/2011,Nonexempt,49205.54
Commonwealth's Attorney,Executive Secy/Assistant CWA,State Comp Board Retirement,10/04/2000,01/04/2020,Nonexempt,24.49
Commonwealth's Attorney,Executive Secy/Assistant CWA,State Comp Board Retirement,09/17/2007,10/18/2010,Nonexempt,25.72
Commonwealth's Attorney,Asst Commonwealth's Att I,Permanent Full-time,12/16/2019,12/16/2019,Exempt,62196.93
Commonwealth's Attorney,Asst Commonwealth's Att I,Permanent Full-time,08/06/2018,05/01/2020,Exempt,62196.94
Commonwealth's Attorney,Asst Commonwealth's Att I,State Comp Board Retirement,03/20/2017,08/03/2019,Exempt,62197.40
Commonwealth's Attorney,Asst Commonwealth's Att I,State Comp Board Retirement,08/24/2019,01/18/2020,Exempt,62197.46
Commonwealth's Attorney,Asst Commonwealth's Att I,State Comp Board Retirement,08/17/2019,04/10/2021,Exempt,62197.46
Commonwealth's Attorney,Asst Commonwealth's Att I,Permanent Full-time,02/18/2020,09/12/2020,Exempt,62197.46
Commonwealth's Attorney,Asst Commonwealth's Att I,Permanent Full-time,09/03/2019,09/03/2019,Exempt,62197.46
Commonwealth's Attorney,Asst Commonwealth's Att I,State Comp Board Retirement,08/17/2019,12/14/2019,Exempt,62197.46
Commonwealth's Attorney,CWA-Director of Communications,State Comp Board Retirement,06/23/2014,02/08/2021,Exempt,63000.08
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,12/27/2018,03/14/2020,Exempt,70281.64
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,08/03/2015,08/29/2020,Exempt,70281.64
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,09/14/2020,09/14/2020,Exempt,70281.64
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,02/05/2018,08/17/2019,Exempt,70281.71
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,12/27/2018,08/03/2019,Exempt,70281.71
Commonwealth's Attorney,Legal Administrator CWA,State Comp Board Retirement,08/22/2011,08/22/2011,Exempt,73248.86
Commonwealth's Attorney,Legal Administrator CWA,State Comp Board Retirement,12/27/2010,03/05/2013,Exempt,73248.86
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,03/19/2015,12/10/2018,Exempt,73282.30
Commonwealth's Attorney,Asst Commonwealth's Att II,State Comp Board Retirement,05/14/2007,02/11/2013,Exempt,79999.92
